銘柄コード	作成元	書類名
2971	エスコンジャパンリート投資法人	有価証券報告書（内国投資証券）－第14期(2023/08/01－2024/01/31)
2972	サンケイリアルエステート投資法人	有価証券報告書（内国投資証券）－第10期(2023/09/01－2024/02/29)
2979	ＳＯＳｉＬＡ物流リート投資法人	有価証券報告書（内国投資証券）－第8期(2023/06/01－2023/11/30)
2989	東海道リート投資法人	有価証券報告書（内国投資証券）－第5期(2023/08/01－2024/01/31)
3226	日本アコモデーションファンド投資法人	有価証券報告書（内国投資証券）－第36期(2023/09/01－2024/02/29)
3234	森ヒルズリート投資法人	有価証券報告書（内国投資証券）－第35期(2023/08/01－2024/01/31)
3249	産業ファンド投資法人	有価証券報告書（内国投資証券）－第33期(2023/08/01－2024/01/31)
3269	アドバンス・レジデンス投資法人	有価証券報告書（内国投資証券）－第27期(2023/08/01－2024/01/31)
3279	アクティビア・プロパティーズ投資法人	有価証券報告書（内国投資証券）－第24期(2023/06/01－2023/11/30)
3281	ＧＬＰ投資法人	有価証券報告書（内国投資証券）－第24期(2023/09/01－2024/02/29)
3282	コンフォリア・レジデンシャル投資法人	有価証券報告書（内国投資証券）－第27期(2023/08/01－2024/01/31)
3283	日本プロロジスリート投資法人	有価証券報告書（内国投資証券）－第22期(2023/06/01－2023/11/30)
3287	星野リゾート・リート投資法人	有価証券報告書（内国投資証券）－第21期(2023/05/01－2023/10/31)
3290	Ｏｎｅリート投資法人	有価証券報告書（内国投資証券）－第21期(2023/09/01－2024/02/29)
3292	イオンリート投資法人	有価証券報告書（内国投資証券）－第22期(2023/08/01－2024/01/31)
3295	ヒューリックリート投資法人	有価証券報告書（内国投資証券）－第20期(2023/09/01－2024/02/29)
3296	日本リート投資法人	有価証券報告書（内国投資証券）－第23期(2023/07/01－2023/12/31)
3309	積水ハウス・リート投資法人	有価証券報告書（内国投資証券）－第18期(2023/05/01－2023/10/31)
3451	トーセイ・リート投資法人	有価証券報告書（内国投資証券）－第18期(2023/05/01－2023/10/31)
3455	ヘルスケア＆メディカル投資法人	有価証券報告書（内国投資証券）－第18期(2023/08/01－2024/01/31)
3459	サムティ・レジデンシャル投資法人	有価証券報告書（内国投資証券）－第17期(2023/08/01－2024/01/31)
3462	野村不動産マスターファンド投資法人	有価証券報告書（内国投資証券）－第17期(2023/09/01－2024/02/29)
3463	いちごホテルリート投資法人	有価証券報告書（内国投資証券）－第17期(2023/08/01－2024/01/31)
3466	ラサールロジポート投資法人	有価証券報告書（内国投資証券）－第16期(2023/09/01－2024/02/29)
3468	スターアジア不動産投資法人	有価証券報告書（内国投資証券）－第16期(2023/08/01－2024/01/31)
3470	マリモ地方創生リート投資法人	有価証券報告書（内国投資証券）－第15期(2023/07/01－2023/12/31)
3471	三井不動産ロジスティクスパーク投資法人	有価証券報告書（内国投資証券）－第15期(2023/08/01－2024/01/31)
3472	大江戸温泉リート投資法人	有価証券報告書（内国投資証券）－第15期(2023/06/01－2023/11/30)
3476	投資法人みらい	有価証券報告書（内国投資証券）－第15期(2023/05/01－2023/10/31)
3481	三菱地所物流リート投資法人	有価証券報告書（内国投資証券）－第15期(2023/09/01－2024/02/29)
3487	ＣＲＥロジスティクスファンド投資法人	有価証券報告書（内国投資証券）－第15期(2023/07/01－2023/12/31)
3488	ザイマックス・リート投資法人	有価証券報告書（内国投資証券）－第12期(2023/09/01－2024/02/29)
3492	タカラレーベン不動産投資法人	有価証券報告書（内国投資証券）－第12期(2023/09/01－2024/02/29)
3493	アドバンス・ロジスティクス投資法人	有価証券報告書（内国投資証券）－第11期(2023/09/01－2024/02/29)
8951	日本ビルファンド投資法人	有価証券報告書（内国投資証券）－第45期(2023/07/01－2023/12/31)
8952	ジャパンリアルエステイト投資法人	有価証券報告書（内国投資証券）－第45期(2023/10/01－2024/03/31)
8953	日本都市ファンド投資法人	有価証券報告書（内国投資証券）－第44期(2023/09/01－2024/02/29)
8954	オリックス不動産投資法人	有価証券報告書（内国投資証券）－第44期(2023/09/01－2024/02/29)
8955	日本プライムリアルティ投資法人	有価証券報告書（内国投資証券）－第44期(2023/07/01－2023/12/31)
8956	ＮＴＴ都市開発リート投資法人	有価証券報告書（内国投資証券）－第42期(2023/05/01－2023/10/31)
8957	東急リアル・エステート投資法人	有価証券報告書（内国投資証券）－第41期(2023/08/01－2024/01/31)
8958	グローバル・ワン不動産投資法人	有価証券報告書（内国投資証券）－第41期(2023/10/01－2024/03/31)
8960	ユナイテッド・アーバン投資法人	有価証券報告書（内国投資証券）－第40期(2023/06/01－2023/11/30)
8961	森トラストリート投資法人	有価証券報告書（内国投資証券）－第44期(2023/09/01－2024/02/29)
8963	インヴィンシブル投資法人	有価証券報告書（内国投資証券）－第41期(2023/07/01－2023/12/31)
8964	フロンティア不動産投資法人	有価証券報告書（内国投資証券）－第39期(2023/07/01－2023/12/31)
8966	平和不動産リート投資法人	有価証券報告書（内国投資証券）－第44期(2023/06/01－2023/11/30)
8967	日本ロジスティクスファンド投資法人	有価証券報告書（内国投資証券）－第37期(2023/08/01－2024/01/31)
8968	福岡リート投資法人	有価証券報告書（内国投資証券）－第39期(2023/09/01－2024/02/29)
8972	ＫＤＸ不動産投資法人	有価証券報告書（内国投資証券）－第37期(2023/05/01－2023/10/31)
8975	いちごオフィスリート投資法人	有価証券報告書（内国投資証券）－第36期(2023/05/01－2023/10/31)
8976	大和証券オフィス投資法人	有価証券報告書（内国投資証券）－第36期(2023/06/01－2023/11/30)
8977	阪急阪神リート投資法人	有価証券報告書（内国投資証券）－第37期(2023/06/01－2023/11/30)
8979	スターツプロシード投資法人	有価証券報告書（内国投資証券）－第36期(2023/05/01－2023/10/31)
8984	大和ハウスリート投資法人	有価証券報告書（内国投資証券）－第36期(2023/09/01－2024/02/29)
8985	ジャパン・ホテル・リート投資法人	有価証券報告書（内国投資証券）－第24期(2023/01/01－2023/12/31)
8986	大和証券リビング投資法人	有価証券報告書（内国投資証券）－第36期(2023/10/01－2024/03/31)
8987	ジャパンエクセレント投資法人	有価証券報告書（内国投資証券）－第35期(2023/07/01－2023/12/31)
